Age Group	Urban-Rural Classification	Counties	Prevalence, % (SE)	State	Alpha2
Adult	Micropolitan	Clatsop, Coos, Crook, Curry, Douglas, Hood River, Klamath, Lincoln, Malheur, Morrow, Umatilla, Union, Wasco	11.8% (0.83)	Oregon	OR
Adult	Noncore	Baker, Gilliam, Grant, Harney, Jefferson, Lake, Sherman, Tillamook, Wallowa, Wheeler	10.0% (1.58)	Oregon	OR
Child	Large Central Metropolitan	Allegheny, Philadelphia	10.8% (1.14)	Pennsylvania	PA
Child	Large Fringe Metropolitan	Armstrong, Beaver, Bucks, Butler, Chester, Delaware, Fayette, Montgomery, Pike, Washington, Westmoreland	9.0% (1.37)	Pennsylvania	PA
Child	Medium Metropolitan	Berks, Carbon, Cumberland, Dauphin, Erie, Lackawanna, Lancaster, Lehigh, Luzerne, Mercer, Northampton, Perry, Wyoming, York	8.7% (1.00)	Pennsylvania	PA
Child	Small Metropolitan	Adams, Blair, Cambria, Centre, Columbia, Franklin, Lebanon, Lycoming, Monroe, Montour	7.6% (1.72)	Pennsylvania	PA
Child	Micropolitan	Bradford, Clearfield, Clinton, Crawford, Huntingdon, Indiana, Lawrence, McKean, Mifflin, Northumberland, Schuylkill, Snyder, Somerset, Union, Venango, Warren	6.3% (1.29)	Pennsylvania	PA
Child	Noncore	Bedford, Cameron, Clarion, Elk, Forest, Fulton, Greene, Jefferson, Juniata, Potter, Sullivan, Susquehanna, Tioga, Wayne	12.8% (5.05)	Pennsylvania	PA
Adult	Large Central Metropolitan	Allegheny, Philadelphia	11.0% (0.57)	Pennsylvania	PA
Adult	Large Fringe Metropolitan	Armstrong, Beaver, Bucks, Butler, Chester, Delaware, Fayette, Montgomery, Pike, Washington, Westmoreland	9.3% (0.56)	Pennsylvania	PA
Adult	Medium Metropolitan	Berks, Carbon, Cumberland, Dauphin, Erie, Lackawanna, Lancaster, Lehigh, Luzerne, Mercer, Northampton, Perry, Wyoming, York	10.5% (0.63)	Pennsylvania	PA
Adult	Small Metropolitan	Adams, Blair, Cambria, Centre, Columbia, Franklin, Lebanon, Lycoming, Monroe, Montour	11.0% (0.90)	Pennsylvania	PA
Adult	Micropolitan	Bradford, Clearfield, Clinton, Crawford, Huntingdon, Indiana, Lawrence, McKean, Mifflin, Northumberland, Schuylkill, Snyder, Somerset, Union, Venango, Warren	11.4% (0.88)	Pennsylvania	PA
Adult	Noncore	Bedford, Cameron, Clarion, Elk, Forest, Fulton, Greene, Jefferson, Juniata, Potter, Sullivan, Susquehanna, Tioga, Wayne	7.6% (1.07)	Pennsylvania	PA
Child	Large Central Metropolitan	Providence	10.1% (1.03)	Rhode Island	RI
Child	Large Fringe Metropolitan	Bristol, Kent, Newport, Washington	7.7% (0.99)	Rhode Island	RI
Adult	Large Central Metropolitan	Providence	11.8% (0.48)	Rhode Island	RI
Adult	Large Fringe Metropolitan	Bristol, Kent, Newport, Washington	11.4% (0.57)	Rhode Island	RI
Adult	Large Fringe Metropolitan	Chester, Lancaster, York	10.1% (0.79)	South Carolina	SC
Adult	Medium Metropolitan	Aiken, Anderson, Berkeley, Calhoun, Charleston, Dorchester, Edgefield, Fairfield, Greenville, Horry, Kershaw, Laurens, Lexington, Pickens, Richland, Saluda, Spartanburg, Union	9.0% (0.30)	South Carolina	SC
Adult	Small Metropolitan	Beaufort, Darlington, Florence, Jasper, Sumter	7.6% (0.50)	South Carolina	SC
Adult	Micropolitan	Abbeville, Cherokee, Georgetown, Greenwood, Marlboro, Newberry, Oconee, Orangeburg	9.6% (0.66)	South Carolina	SC
Adult	Noncore	Allendale, Bamberg, Barnwell, Chesterfield, Clarendon, Colleton, Dillon, Hampton, Lee, McCormick, Marion, Williamsburg	9.5% (0.77)	South Carolina	SC
Adult	Small Metropolitan	Custer, Lincoln, McCook, Meade, Minnehaha, Pennington, Turner, Union	7.0% (0.51)	South Dakota	SD
Adult	Micropolitan	Beadle, Brookings, Brown, Clay, Codington, Davison, Edmunds, Hanson, Hughes, Lawrence, Stanley, Sully, Yankton	7.2% (0.60)	South Dakota	SD
Adult	Noncore	Aurora, Bennett, Bon Homme, Brule, Buffalo, Butte, Campbell, Charles Mix, Clark, Corson, Day, Deuel, Dewey, Douglas, Fall River, Faulk, Grant, Gregory, Haakon, Hamlin, Hand, Harding, Hutchinson, Hyde, Jackson, Jerauld, Jones, Kingsbury, Lake, Lyman, McPherson, Marshall, Mellette, Miner, Moody, Oglala Lakota, Perkins, Potter, Roberts, Sanborn, Shannon, Spink, Todd, Tripp, Walworth, Ziebach	7.2% (0.59)	South Dakota	SD
Adult	Large Central Metropolitan	Davidson, Shelby	9.8% (0.90)	Tennesse	TN
Adult	Large Fringe Metropolitan	Cannon, Cheatham, Dickson, Fayette, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Tipton, Trousdale, Williamson, Wilson	8.9% (0.87)	Tennesse	TN
Adult	Medium Metropolitan	Anderson, Blount, Campbell, Grainger, Hamilton, Hawkins, Knox, Loudon, Marion, Montgomery, Morgan, Roane, Sequatchie, Sullivan, Union	11.2% (0.64)	Tennesse	TN
Adult	Small Metropolitan	Bradley, Carter, Chester, Crockett, Hamblen, Jefferson, Madison, Polk, Unicoi, Washington	10.3% (0.85)	Tennesse	TN
Adult	Micropolitan	Bedford, Cocke, Coffee, Cumberland, Dyer, Franklin, Greene, Henry, Jackson, Lawrence, McMinn, Marshall, Moore, Obion, Overton, Putnam, Rhea, Sevier, Warren, Weakley	10.1% (0.69)	Tennesse	TN
Adult	Noncore	Benton, Bledsoe, Carroll, Claiborne, Clay, Decatur, DeKalb, Fentress, Gibson, Giles, Grundy, Hancock, Hardeman, Hardin, Haywood, Henderson, Houston, Humphreys, Johnson, Lake, Lauderdale, Lewis, Lincoln, McNairy, Meigs, Monroe, Perry, Pickett, Scott, Stewart, Van Buren, Wayne, White	10.8% (0.86)	Tennesse	TN
Adult	Large Central Metropolitan	Bexar, Collin, Dallas, Harris, Tarrant, Travis	7.4% (0.43)	Texas	TX
Adult	Large Fringe Metropolitan	Atascosa, Austin, Bandera, Bastrop, Brazoria, Caldwell, Chambers, Comal, Denton, Ellis, Fort Bend, Galveston, Guadalupe, Hays, Hood, Hunt, Johnson, Kaufman, Kendall, Liberty, Medina, Montgomery, Parker, Rockwall, Somervell, Waller, Williamson, Wilson, Wise	6.9% (0.60)	Texas	TX
Adult	Medium Metropolitan	Aransas, Armstrong, Bell, Cameron, Carson, Coryell, Crosby, El Paso, Falls, Hardin, Hidalgo, Hudspeth, Jefferson, Lampasas, Lubbock, Lynn, McLennan, Newton, Nueces, Oldham, Orange, Potter, Randall, San Patricio, Webb	8.0% (0.66)	Texas	TX
Adult	Small Metropolitan	Archer, Bowie, Brazos, Burleson, Callahan, Clay, Ector, Goliad, Grayson, Gregg, Irion, Jones, Martin, Midland, Robertson, Rusk, Smith, Taylor, Tom Green, Upshur, Victoria, Wichita	7.5% (0.88)	Texas	TX
Adult	Micropolitan	Anderson, Andrews, Angelina, Bee, Brown, Calhoun, Cherokee, Cooke, Dawson, Deaf Smith, Erath, Gillespie, Glasscock, Gray, Hale, Harrison, Henderson, Hockley, Hopkins, Howard, Hutchinson, Jim Wells, Kenedy, Kerr, Kleberg, Lamar, Matagorda, Maverick, Moore, Nacogdoches, Navarro, Nolan, Palo Pinto, Reeves, Scurry, Starr, Titus, Trinity, Uvalde, Val Verde, Walker, Washington, Wharton, Wilbarger, Willacy, Zapata,	7.7% (1.16)	Texas	TX
Adult	Noncore	Bailey, Baylor, Blanco, Borden, Bosque, Brewster, Briscoe, Brooks, Burnet, Camp, Cass, Castro, Childress, Cochran, Coke, Coleman, Collingsworth, Colorado, Comanche, Concho, Cottle, Crane, Crockett, Culberson, Dallam, Delta, DeWitt, Dickens, Dimmit, Donley, Duval, Eastland, Edwards, Fannin, Fayette, Fisher, Floyd, Foard, Franklin, Freestone, Frio, Gaines, Garza, Gonzales, Grimes, Hall, Hamilton, Hansford, Hardeman, Hartley, Haskell, Hemphill, Hill, Houston, Jack, Jackson, Jasper, Jeff Davis, Jim Hogg, Karnes, Kent, Kimble, King, Kinney, Knox, Lamb, La, Lavaca, Lee, Leon, Limestone, Lipscomb, Live Oak, Llano, Loving, McCulloch, McMullen, Madison, Marion, Mason, Menard, Milam, Mills, Mitchell, Montague, Morris, Motley, Ochiltree, Panola, Parmer, Pecos, Polk, Presidio, Rains, Reagan, Real, Red River, Refugio, Roberts, Runnels, Sabine, San Augustine, San Jacinto, San Saba, Schleicher, Shackelford, Shelby, Sherman, Stephens, Sterling, Stonewall, Sutton, Swisher, Terrell, Terry, Throckmorton, Tyler, Upton, Van Zandt, Ward, Wheeler, Winkler, Wood, Yoakum, Young, Zavala	7.9% (0.99)	Texas	TX
Child	Large Central Metropolitan	Salt Lake	6.3% (0.55)	Utah	UT
Child	Large Fringe Metropolitan	Tooele	8.8% (1.94)	Utah	UT
Child	Medium Metropolitan	Box Elder, Davis, Juab, Morgan, Utah, Weber	5.6% (0.39)	Utah	UT
Child	Small Metropolitan	Cache, Washington	4.4% (1.20)	Utah	UT
Child	Micropolitan	Carbon, Iron, Summit, Uintah, Wasatch	4.6% (0.65)	Utah	UT
Child	Noncore	Beaver, Daggett, Duchesne, Emery, Garfield, Grand, Kane, Millard, Piute, Rich, San Juan, Sanpete, Sevier, Wayne        	6.8% (0.96)	Utah	UT
Adult	Large Central Metropolitan	Salt Lake	9.3% (0.37)	Utah	UT
Adult	Large Fringe Metropolitan	Tooele	10.0% (1.12)	Utah	UT
Adult	Medium Metropolitan	Box Elder, Davis, Juab, Morgan, Utah, Weber	8.6% (0.34)	Utah	UT
Adult	Small Metropolitan	Cache, Washington	7.6% (0.60)	Utah	UT
Adult	Micropolitan	Carbon, Iron, Summit, Uintah, Wasatch	9.0% (0.66)	Utah	UT
Adult	Noncore	Beaver, Daggett, Duchesne, Emery, Garfield, Grand, Kane, Millard, Piute, Rich, San Juan, Sanpete, Sevier, Wayne        	8.5% (0.62)	Utah	UT
Child	Small Metropolitan	Chittenden, Franklin, Grand Isle	6.9% (1.03)	Vermont	VT
Child	Micropolitan	Bennington, Essex, Orange, Rutland, Washington, Windsor	9.5% (1.13)	Vermont	VT
Child	Noncore	Addison, Caledonia, Lamoille, Orleans, Windham	7.5% (1.01)	Vermont	VT
Adult	Small Metropolitan	Chittenden, Franklin, Grand Isle	11.1% (0.64)	Vermont	VT
Adult	Micropolitan	Bennington, Essex, Orange, Rutland, Washington, Windsor	11.6% (0.48)	Vermont	VT
Adult	Noncore	Addison, Caledonia, Lamoille, Orleans, Windham	11.2% (0.56)	Vermont	VT
Adult	Large Central Metropolitan	Arlington, Alexandria city, Norfolk city, Richmond city, Virginia Beach city	8.4% (0.61)	Virginia	VA
Adult	Large Fringe Metropolitan	Amelia, Caroline, Charles City, Chesterfield, Clarke, Culpeper, Dinwiddie, Fairfax, Fauquier, Gloucester, Goochland, Hanover, Henrico, Isle of Wight, James City, King William, Loudoun, Mathews, New Kent, Powhatan, Prince George, Prince William, Rappahannock, Spotsylvania, Stafford, Sussex, Warren, York, Chesapeake city, Colonial Heights, Fairfax city, Falls Church city, Fredericksburg city, Hampton city, Hopewell city, Manassas city, Manassas Park city, Newport News city, Petersburg city, Poquoson city, Portsmouth city, Suffolk city, Williamsburg city	8.2% (0.32)	Virginia	VA
Adult	Medium Metropolitan	Amherst, Appomattox, Bedford, Botetourt, Campbell, Craig, Franklin, Roanoke, Scott, Washington, Bedford city, Bristol city, Lynchburg city, Roanoke city, Salem city	8.9% (0.71)	Virginia	VA
Adult	Small Metropolitan	Albemarle, Augusta, Buckingham, Floyd, Fluvanna, Frederick, Giles, Greene, Montgomery, Nelson, Pulaski, Rockingham, Charlottesville city, Harrisonburg city, Radford city, Staunton city, Waynesboro city, Winchester city	9.1% (0.71)	Virginia	VA
Adult	Micropolitan	Dickenson, Henry, Pittsylvania, Tazewell, Wise, Danville city, Martinsville city, Norton city	10.7% (1.10)	Virginia	VA
Adult	Noncore	Accomack, Alleghany, Bath, Bland, Brunswick, Buchanan, Carroll, Charlotte, Cumberland, Essex, Grayson, Greensville, Halifax, Highland, King and Queen, King George, Lancaster, Lee, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Prince Edward, Richmond, Rockbridge, Russell, Shenandoah, Smyth, Southampton, Surry, Westmoreland, Wythe, Buena Vista city, Covington city, Emporia city, Franklin city, Galax city, Lexington city	10.0% (0.73)	Virginia	VA
Adult	Large Central Metropolitan	King	8.5% (0.36)	Washington	WA
Adult	Large Fringe Metropolitan	Clark, Pierce, Skamania, Snohomish	10.4% (0.41)	Washington	WA
Adult	Medium Metropolitan	Benton, Franklin, Kitsap, Pend Oreille, Spokane, Stevens, Thurston	10.4% (0.46)	Washington	WA
Adult	Small Metropolitan	Asotin, Chelan, Columbia, Cowlitz, Douglas, Skagit, Walla Walla, Whatcom, Yakima	11.0% (0.58)	Washington	WA
Adult	Micropolitan	Adams, Clallam, Grant, Grays Harbor, Island, Kittitas, Lewis, Mason, Whitman	10.9% (0.63)	Washington	WA
Adult	Noncore	Ferry, Garfield, Jefferson, Klickitat, Lincoln, Okanogan, Pacific, San Juan, Wahkiakum	9.4% (0.92)	Washington	WA
Adult	Large Fringe Metropolitan	Jefferson	9.4% (1.82)	West Virginia	WV
Adult	Medium Metropolitan	Berkeley, Cabell, Lincoln, Putnam, Wayne	13.9% (0.82)	West Virginia	WV
Adult	Small Metropolitan	Boone, Brooke, Clay, Fayette, Hampshire, Hancock, Kanawha, Marshall, Mineral, Monongalia, Ohio, Preston, Raleigh, Wirt, Wood	11.5% (0.48)	West Virginia	WV
Adult	Micropolitan	Doddridge, Harrison, Logan, Marion, Mason, Mercer, Randolph, Taylor	13.9% (0.80)	West Virginia	WV
Adult	Noncore	Barbour, Braxton, Calhoun, Gilmer, Grant, Greenbrier, Hardy, Jackson, Lewis, McDowell, Mingo, Monroe, Morgan, Nicholas, Pendleton, Pleasants, Pocahontas, Ritchie, Roane, Summers, Tucker, Tyler, Upshur, Webster, Wetzel, Wyoming	11.4% (0.63)	West Virginia	WV
Child	Large Central Metropolitan	Milwaukee	15.1% (2.87)	Wisconsin	WI
Child	Large Fringe Metropolitan	Kenosha, Ozaukee, Pierce, St. Croix, Washington, Waukesha	7.2% (1.62)	Wisconsin	WI
Child	Medium Metropolitan	Brown, Columbia, Dane, Douglas, Green, Iowa, Kewaunee, Oconto	7.9% (1.65)	Wisconsin	WI
Child	Small Metropolitan	Calumet, Chippewa, Eau Claire, Fond du Lac, La Crosse, Marathon, Outagamie, Racine, Rock, Sheboygan, Winnebago	5.3% (0.97)	Wisconsin	WI
Child	Micropolitan	Dodge, Dunn, Florence, Grant, Jefferson, Lincoln, Manitowoc, Marinette, Menominee, Portage, Sauk, Shawano, Walworth, Wood	7.9% (1.78)	Wisconsin	WI
Child	Noncore	Adams, Ashland, Barron, Bayfield, Buffalo, Burnett, Clark, Crawford, Door, Forest, Green Lake, Iron, Jackson, Juneau, Lafayette, Langlade, Marquette, Monroe, Oneida, Pepin, Polk, Price, Richland, Rusk, Sawyer, Taylor, Trempealeau, Vernon, Vilas, Washburn, Waupaca, Waushara	5.8% (1.19)	Wisconsin	WI
Adult	Large Central Metropolitan	Milwaukee	11.1% (0.97)	Wisconsin	WI
Adult	Large Fringe Metropolitan	Kenosha, Ozaukee, Pierce, St. Croix, Washington, Waukesha	8.7% (0.85)	Wisconsin	WI
Adult	Medium Metropolitan	Brown, Columbia, Dane, Douglas, Green, Iowa, Kewaunee, Oconto	8.4% (0.80)	Wisconsin	WI
Adult	Small Metropolitan	Calumet, Chippewa, Eau Claire, Fond du Lac, La Crosse, Marathon, Outagamie, Racine, Rock, Sheboygan, Winnebago	9.2% (0.60)	Wisconsin	WI
Adult	Micropolitan	Dodge, Dunn, Florence, Grant, Jefferson, Lincoln, Manitowoc, Marinette, Menominee, Portage, Sauk, Shawano, Walworth, Wood	8.1% (0.72)	Wisconsin	WI
Adult	Noncore	Adams, Ashland, Barron, Bayfield, Buffalo, Burnett, Clark, Crawford, Door, Forest, Green Lake, Iron, Jackson, Juneau, Lafayette, Langlade, Marquette, Monroe, Oneida, Pepin, Polk, Price, Richland, Rusk, Sawyer, Taylor, Trempealeau, Vernon, Vilas, Washburn, Waupaca, Waushara	8.3% (0.65)	Wisconsin	WI
Adult	Small Metropolitan	Laramie, Natrona	9.7% (0.67)	Wyoming	WY
Adult	Micropolitan	Albany, Campbell, Fremont, Sheridan, Sweetwater, Teton, Uinta	9.4% (0.59)	Wyoming	WY
Adult	Noncore	Big Horn, Carbon, Converse, Crook, Goshen, Hot Springs, Johnson, Lincoln, Niobrara, Park, Platte, Sublette, Washakie, Weston	8.0% (0.58)	Wyoming	WY
