YEAR,LOCATION,SV,MEASUREMENT_METHOD,OBSERVATION
2006,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,4
2007,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,4
2008,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2009,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2010,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2011,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2012,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,7
2013,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2014,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2015,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2016,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2017,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2018,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2019,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2020,geoId/01047,dcid:Count_Person_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone,dcs:dcAggregate/CensusPEPSurvey,5
2000,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,14
2001,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,13
2002,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,13
2003,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,14
2004,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,13
2005,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,11
2006,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,11
2007,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,9
2008,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,12
2009,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,12
2010,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,12
2011,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,18
2012,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,17
2013,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,16
2014,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,17
2015,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,17
2016,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,16
2017,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,16
2018,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,16
2019,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,18
2020,geoId/01047,dcid:Count_Person_HispanicOrLatino_TwoOrMoreRaces,dcs:dcAggregate/CensusPEPSurvey,20
1990,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,71
1991,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,69
1992,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,69
1993,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,74
1994,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,75
1995,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,82
1996,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,86
1997,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,97
1998,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,110
1999,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,116
2000,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,117
2001,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,138
2002,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,142
2003,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,137
2004,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,128
2005,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,139
2006,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,143
2007,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,123
2008,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,131
2009,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,135
2010,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,160
2011,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,183
2012,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,219
2013,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,214
2014,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,203
2015,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,204
2016,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,218
2017,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,208
2018,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,208
2019,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,214
2020,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAlone,dcs:dcAggregate/CensusPEPSurvey,227
2010,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,172
2011,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,201
2012,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,235
2013,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,228
2014,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,220
2015,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,219
2016,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,234
2017,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,224
2018,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,224
2019,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,229
2020,geoId/01047,dcid:Count_Person_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,244
1990,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47882
1991,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47737
1992,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47819
1993,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47880
1994,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47688
1995,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47576
1996,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,47220
1997,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,46960
1998,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,46643
1999,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,46495
2000,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,45908
2001,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,45832
2002,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,45072
2003,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,44875
2004,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,44517
2005,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,44140
2006,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,44023
2007,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,43921
2008,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,43983
2009,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,43477
2010,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,43542
2011,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,42908
2012,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,42407
2013,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,41597
2014,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,41181
2015,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,40561
2016,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,39697
2017,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,38859
2018,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,37868
2019,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,36774
2020,geoId/01047,dcid:Count_Person_NotHispanicOrLatino,dcs:dcAggregate/CensusPEPSurvey,35667
2010,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,166
2011,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,179
2012,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,185
2013,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,193
2014,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,198
2015,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,187
2016,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,189
2017,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,183
2018,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,184
2019,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,184
2020,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,179
1990,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,41
1991,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,39
1992,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,39
1993,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,39
1994,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,36
1995,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,38
1996,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,34
1997,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,36
1998,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,28
1999,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,29
2000,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,47
2001,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,47
2002,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,48
2003,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,57
2004,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,54
2005,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,65
2006,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,70
2007,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,73
2008,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,78
2009,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,78
2010,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,79
2011,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,82
2012,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,86
2013,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,86
2014,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,88
2015,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,90
2016,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,89
2017,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,86
2018,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,85
2019,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,86
2020,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone,dcs:dcAggregate/CensusPEPSurvey,84
2000,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,159
2001,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,166
2002,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,162
2003,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,159
2004,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,162
2005,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,139
2006,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,140
2007,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,143
2008,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,140
2009,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,145
2010,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,153
2011,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,161
2012,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,165
2013,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,161
2014,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,170
2015,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,183
2016,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,210
2017,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,232
2018,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,238
2019,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,188
2020,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAlone,dcs:dcAggregate/CensusPEPSurvey,182
2010,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,192
2011,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,212
2012,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,216
2013,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,209
2014,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,218
2015,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,236
2016,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,261
2017,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,283
2018,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,285
2019,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,240
2020,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces,dcs:dcAggregate/CensusPEPSurvey,235
1990,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,129
1991,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,132
1992,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,131
1993,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,136
1994,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,138
1995,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,142
1996,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,145
1997,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,149
1998,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,146
1999,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_AsianOrPacificIslander,dcs:dcAggregate/CensusPEPSurvey,149
1990,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,27700
1991,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,27697
1992,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,27859
1993,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,28008
1994,geoId/01047,dcid:Count_Person_NotHispanicOrLatino_BlackOrAfricanAmericanAlone,dcs:dcAggregate/CensusPEPSurvey,27998
