"Table with row headers in columns A, C, and D and column headers in row 6.",,,,,,,,,,,,,,,,,,,,,
"Estimates of the Population of States by Age, Sex, and Race:  1970-1979",,,,,,,,,,,,,,,,,,,,,
"Source:  1970-1979 Population Estimates by Age, Sex, and Race, PE-19",,,,,,,,,,,,,,,,,,,,,
"Internet Release Date:  November 5, 2004",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year of Estimate,FIPS State Code,State Name,Race/Sex Indicator,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
1974,44,Rhode Island,Other races male,400,356,318,329,441,400,346,241,212,136,132,94,81,68,50,40,25,15
1974,44,Rhode Island,Other races female,375,309,325,326,350,352,268,241,203,161,132,113,101,100,67,54,31,33
1974,45,South Carolina,White male,"78,988","81,916","93,714","102,819","104,073","82,348","69,871","56,651","54,184","54,558","53,766","45,483","36,741","27,182","17,344","10,475","5,360","2,905"
1974,45,South Carolina,White female,"75,151","78,009","89,064","92,773","91,336","81,109","68,147","57,010","55,841","56,968","57,400","50,038","44,110","36,304","26,777","18,693","11,568","7,599"
1974,45,South Carolina,Black male,"44,118","46,296","54,309","55,497","41,961","26,581","21,278","16,010","16,207","16,125","16,252","14,643","12,890","10,912","6,316","4,221","2,155","1,380"
1974,45,South Carolina,Black female,"43,591","46,618","53,722","55,150","44,685","30,161","23,168","19,694","20,333","19,961","19,884","17,786","16,322","15,145","9,440","6,695","3,849","2,928"
1974,45,South Carolina,Other races male,530,513,490,564,822,464,470,323,292,185,128,96,81,61,39,24,12,37
1974,45,South Carolina,Other races female,515,523,487,445,590,581,561,428,350,279,182,114,123,88,61,47,25,24
1974,46,South Dakota,White male,"24,884","26,203","32,638","34,231","28,953","21,768","17,395","14,643","15,317","16,918","17,335","15,758","14,061","11,902","9,551","7,017","4,539","2,878"
1974,46,South Dakota,White female,"23,762","25,383","31,371","33,611","27,505","20,431","17,150","15,098","15,789","16,629","17,044","16,023","15,014","13,457","11,571","9,560","6,857","5,184"
1974,46,South Dakota,Black male,110,86,81,149,394,116,84,102,46,18,16,14,12,10,6,11,5,3
1974,46,South Dakota,Black female,106,78,62,81,76,56,45,41,18,21,19,11,9,7,9,6,5,0
1974,46,South Dakota,Other races male,"2,977","2,845","2,938","2,511","1,629","1,235","1,032",804,760,642,567,555,427,347,283,182,89,72
1974,46,South Dakota,Other races female,"3,026","2,852","2,836","2,543","1,742","1,369","1,078",961,851,755,656,537,448,334,269,189,119,89
1974,47,Tennessee,White male,"134,539","142,898","167,249","172,069","152,697","136,596","118,228","97,570","95,560","97,152","96,287","83,249","73,080","60,099","41,362","26,320","14,839","8,798"
1974,47,Tennessee,White female,"127,631","136,000","158,206","163,281","153,972","139,315","119,500","102,876","100,630","104,695","104,955","93,687","85,241","75,295","58,459","42,113","27,259","18,642"
1974,47,Tennessee,Black male,"32,243","33,962","39,500","39,075","29,087","19,582","15,252","11,873","12,639","12,595","12,597","11,981","11,429","10,803","7,098","4,826","2,652","1,719"
1974,47,Tennessee,Black female,"31,637","33,628","39,335","40,258","33,103","23,650","18,610","16,231","16,646","16,129","15,971","14,492","14,345","13,311","9,449","6,661","3,784","3,149"
1974,47,Tennessee,Other races male,589,495,495,598,776,592,538,417,355,240,181,130,118,91,57,44,45,46
1974,47,Tennessee,Other races female,577,540,509,460,671,724,634,478,403,314,258,161,163,131,119,81,62,46
1974,48,Texas,White male,"452,812","464,172","535,118","540,158","514,630","436,099","347,640","287,901","281,489","283,457","272,547","230,665","199,569","165,557","115,322","72,268","40,668","23,589"
1974,48,Texas,White female,"432,081","446,630","512,049","518,687","491,223","428,266","349,747","294,879","287,575","296,085","288,983","248,419","226,354","201,569","157,168","114,717","74,754","51,874"
1974,48,Texas,Black male,"76,697","77,162","87,476","86,439","70,259","50,479","40,447","32,474","32,918","31,060","28,926","24,961","23,109","21,431","15,141","9,770","5,247","3,623"
1974,48,Texas,Black female,"75,567","76,780","86,632","84,276","72,331","56,092","45,797","38,377","38,481","36,278","33,822","28,939","27,706","25,832","18,927","12,931","7,519","6,086"
1974,48,Texas,Other races male,"4,909","4,561","4,548","4,624","5,695","4,832","4,137","2,970","2,519","1,895","1,376","1,060",883,697,456,278,161,121
1974,48,Texas,Other races female,"4,824","4,481","4,394","4,147","5,075","5,443","4,593","3,540","3,050","2,293","1,656","1,181",995,781,595,379,213,146
1974,49,Utah,White male,"68,749","57,856","62,329","62,759","58,339","48,262","35,076","27,852","26,748","26,215","25,347","21,800","18,273","14,479","10,169","6,557","3,852","2,374"
1974,49,Utah,White female,"65,353","55,527","59,905","63,294","61,255","46,548","35,326","28,360","26,996","26,590","26,348","22,784","19,594","16,681","13,089","9,378","6,400","4,290"
1974,49,Utah,Black male,374,353,360,"1,155",671,378,211,194,155,146,165,136,94,81,41,31,15,11
1974,49,Utah,Black female,400,324,327,360,356,254,177,144,128,144,133,127,81,61,53,37,26,15
1974,49,Utah,Other races male,"1,648","1,384","1,644","1,761","1,504","1,246",771,564,495,439,426,284,237,193,138,79,64,62
1974,49,Utah,Other races female,"1,638","1,480","1,703","1,898","1,602","1,160",850,600,579,482,405,282,214,165,125,128,84,46
1974,50,Vermont,White male,"19,159","20,845","24,436","24,423","20,847","18,097","15,437","12,142","11,553","11,656","11,418","10,306","9,155","7,687","5,709","3,744","2,202","1,362"
1974,50,Vermont,White female,"18,231","19,788","22,956","24,317","21,189","18,382","15,089","12,029","11,719","12,136","12,357","11,185","10,310","9,289","7,778","6,041","4,375","3,377"
1974,50,Vermont,Black male,79,48,43,75,87,65,47,34,23,17,13,12,10,11,9,6,1,3
1974,50,Vermont,Black female,58,39,38,57,54,51,31,20,17,13,11,11,10,9,5,6,3,2
1974,50,Vermont,Other races male,100,52,57,61,67,75,73,43,37,21,11,15,9,7,11,5,4,8
1974,50,Vermont,Other races female,84,61,59,57,83,110,78,43,46,17,16,24,12,15,10,15,12,6
1974,51,Virginia,White male,"149,848","163,162","191,027","195,050","206,576","171,430","143,502","119,582","114,334","113,451","110,881","92,458","74,116","55,415","36,870","23,375","12,846","7,438"
1974,51,Virginia,White female,"142,388","155,376","182,589","185,355","186,467","169,091","143,554","120,052","114,119","118,337","117,799","99,489","84,813","70,970","54,819","40,688","26,748","18,579"
1974,51,Virginia,Black male,"40,496","45,465","53,855","54,803","43,913","30,822","25,161","20,754","21,427","21,191","21,859","19,103","16,320","12,871","8,196","5,415","3,011","1,805"
1974,51,Virginia,Black female,"39,867","45,480","54,146","54,528","45,481","33,200","27,635","23,758","24,668","23,746","23,922","20,545","18,052","15,547","10,805","7,697","4,616","3,474"
1974,51,Virginia,Other races male,"2,087","2,115","1,878","1,747","2,575","2,236","2,040","1,678","1,312",829,619,387,302,216,150,80,69,91
1974,51,Virginia,Other races female,"2,066","2,110","1,828","1,506","2,054","2,545","2,463","2,097","1,544","1,025",662,431,335,258,201,129,75,68
1974,53,Washington,White male,"124,086","139,047","166,212","166,812","149,986","137,227","114,718","92,076","88,291","90,723","93,198","82,981","71,055","55,621","38,747","25,341","15,890","10,656"
1974,53,Washington,White female,"118,285","133,145","157,655","159,740","144,366","135,328","113,271","90,429","86,861","92,245","96,673","86,545","75,662","64,052","50,276","39,151","28,247","20,845"
1974,53,Washington,Black male,"4,194","4,080","4,490","5,017","6,263","4,344","2,794","2,274","2,115","1,993","1,895","1,493","1,160",814,500,243,109,107
1974,53,Washington,Black female,"4,107","4,135","4,543","4,330","4,042","3,290","2,520","1,808","1,877","1,845","1,799","1,387","1,006",729,456,360,198,147
1974,53,Washington,Other races male,"5,264","5,392","5,932","6,198","5,996","4,854","3,666","2,898","2,720","2,373","2,056","1,795","1,616","1,409",862,470,262,228
1974,53,Washington,Other races female,"5,278","5,399","5,741","5,894","5,639","5,207","4,395","3,731","3,503","2,967","2,471","1,673","1,219",986,736,599,369,254
1974,54,West Virginia,White male,"69,960","71,961","84,038","86,095","71,595","61,381","50,623","42,308","43,569","47,995","49,275","44,130","39,312","32,634","22,460","15,381","9,089","5,734"
1974,54,West Virginia,White female,"66,555","68,709","79,861","83,828","74,804","62,496","50,946","45,731","47,566","52,551","53,802","49,324","44,870","38,865","30,064","22,432","14,205","10,146"
1974,54,West Virginia,Black male,"2,610","2,817","3,530","4,008","2,908","1,497","1,120",902,"1,064","1,228","1,442","1,488","1,534","1,527","1,201",910,445,304
1974,54,West Virginia,Black female,"2,493","2,709","3,440","3,908","3,170","1,779","1,373","1,267","1,481","1,785","1,965","1,867","1,958","1,984","1,488","1,045",564,453
1974,54,West Virginia,Other races male,227,215,188,159,200,184,193,186,161,113,62,56,47,40,35,23,8,18
1974,54,West Virginia,Other races female,258,213,186,179,235,260,220,206,150,131,87,69,56,55,57,39,23,17
1974,55,Wisconsin,White male,"167,851","188,716","228,465","224,920","184,944","161,476","129,836","108,388","109,064","113,579","114,132","102,814","91,921","75,514","57,160","39,740","24,011","14,314"
1974,55,Wisconsin,White female,"159,383","180,038","218,261","219,313","190,153","158,915","130,314","110,078","109,351","116,576","119,974","111,331","101,713","88,005","73,274","57,283","39,896","28,301"
1974,55,Wisconsin,Black male,"9,701","9,477","9,977","9,074","6,884","5,661","4,299","3,487","3,502","3,079","2,502","1,838","1,433",989,619,387,179,142
1974,55,Wisconsin,Black female,"9,662","9,452","9,978","9,223","7,943","6,631","5,291","4,310","4,016","3,215","2,618","1,920","1,537","1,167",764,490,264,214
1974,55,Wisconsin,Other races male,"2,160","2,117","2,138","2,033","1,941","1,621","1,269","1,038",858,682,590,421,382,339,274,181,109,87
1974,55,Wisconsin,Other races female,"2,108","2,250","2,150","2,062","1,933","1,668","1,413","1,090",971,769,594,511,447,376,283,206,127,93
1974,56,Wyoming,White male,"15,578","15,546","18,035","18,296","17,214","16,041","11,835","9,678","9,513","9,661","9,328","7,939","6,805","5,457","3,716","2,675","1,641",989
1974,56,Wyoming,White female,"14,828","14,716","16,995","17,316","15,971","14,238","11,033","9,417","9,116","9,338","9,161","7,925","6,853","5,820","4,395","3,494","2,346","1,669"
1974,56,Wyoming,Black male,139,143,154,204,352,151,95,84,74,41,57,45,32,30,22,11,6,10
1974,56,Wyoming,Black female,142,140,163,153,154,96,89,59,54,62,54,39,29,26,17,17,6,9
1974,56,Wyoming,Other races male,397,404,439,412,386,284,230,185,157,133,114,112,65,63,53,40,11,23
1974,56,Wyoming,Other races female,375,409,461,391,330,302,249,210,209,148,116,86,66,57,55,32,25,9
1975,01,Alabama,White male,"103,529","111,093","128,368","132,436","119,359","106,605","90,254","75,750","73,804","75,833","73,856","64,794","56,720","46,849","31,978","19,554","10,384","6,454"
1975,01,Alabama,White female,"98,987","105,300","121,366","127,853","119,391","107,951","91,520","78,719","76,237","80,007","79,681","72,104","67,033","59,452","46,156","31,680","20,554","14,383"
1975,01,Alabama,Black male,"46,860","48,686","57,330","58,352","41,513","26,213","20,103","16,538","16,400","16,958","17,322","16,268","16,827","15,916","10,758","7,313","3,694","2,619"
1975,01,Alabama,Black female,"46,406","48,184","56,312","59,260","48,736","31,118","24,059","21,373","22,212","23,212","22,601","20,955","21,288","21,050","14,809","10,402","6,070","5,204"
1975,01,Alabama,Other races male,505,519,581,568,627,483,447,379,287,243,175,138,128,93,83,44,32,43
1975,01,Alabama,Other races female,519,520,544,500,647,618,589,479,410,358,255,177,158,147,116,85,45,38
1975,02,Alaska,White male,"13,801","13,985","15,178","14,260","19,264","18,599","14,627","11,539","9,346","7,944","6,761","4,912","3,022","1,602",818,431,239,153
1975,02,Alaska,White female,"13,084","13,267","13,968","12,476","14,800","16,547","12,980","9,515","7,348","6,456","5,601","4,007","2,355","1,331",775,424,233,186
1975,02,Alaska,Black male,769,626,539,588,"1,570","1,029",543,429,279,224,177,106,86,38,17,5,6,15
1975,02,Alaska,Black female,764,626,558,455,753,664,416,296,238,179,133,99,69,31,19,9,7,5
1975,02,Alaska,Other races male,"4,021","4,088","4,791","4,154","3,216","2,687","2,120","1,801","1,573","1,314","1,112",821,723,599,344,231,97,147
1975,02,Alaska,Other races female,"3,836","3,945","4,546","4,189","3,306","2,589","2,199","1,742","1,572","1,243","1,000",797,669,471,303,223,102,94
1975,04,Arizona,White male,"86,695","84,800","100,111","102,401","99,386","87,144","67,630","54,879","51,840","51,526","51,497","46,417","43,453","39,046","28,032","16,662","8,876","4,513"
1975,04,Arizona,White female,"82,868","81,695","96,853","98,552","95,658","84,537","67,572","55,828","51,981","54,329","57,837","52,440","50,805","45,234","33,045","21,827","12,866","7,837"
1975,04,Arizona,Black male,"3,499","3,479","3,988","4,220","4,006","2,773","1,992","1,704","1,501","1,295","1,137","1,058",976,873,573,370,176,125
1975,04,Arizona,Black female,"3,377","3,424","3,973","3,688","3,131","2,323","1,994","1,620","1,462","1,352","1,264","1,111",991,796,582,417,214,172
1975,04,Arizona,Other races male,"9,192","8,788","10,109","8,875","6,921","5,193","4,137","3,277","3,018","2,319","1,937","1,724","1,358","1,244",894,577,306,318
1975,04,Arizona,Other races female,"9,065","8,983","9,990","9,201","7,425","5,490","4,630","3,815","3,348","2,945","2,420","1,871","1,498","1,201",738,574,305,348
1975,05,Arkansas,White male,"68,851","70,954","81,983","83,378","73,946","67,620","56,296","47,057","44,725","45,415","46,245","43,238","42,298","38,082","27,747","16,723","10,405","6,093"
1975,05,Arkansas,White female,"65,080","67,341","78,529","80,630","75,000","67,991","57,372","48,631","46,303","48,282","50,185","49,038","47,815","44,302","35,185","23,843","16,481","11,224"
1975,05,Arkansas,Black male,"19,398","19,291","22,680","22,396","15,562","9,030","7,124","5,610","5,551","5,646","5,938","6,081","6,639","6,880","5,336","3,878","2,251","1,793"
1975,05,Arkansas,Black female,"19,018","19,435","22,313","22,920","17,462","10,961","8,335","7,249","7,358","7,746","8,094","7,807","8,309","8,465","6,495","4,893","2,956","2,480"
1975,05,Arkansas,Other races male,439,460,507,546,585,415,346,299,285,210,191,183,145,130,98,60,40,33
1975,05,Arkansas,Other races female,468,450,534,547,566,524,448,341,321,303,256,185,179,172,131,93,61,38
1975,06,California,White male,"663,916","733,224","864,443","911,248","915,639","837,805","672,785","536,695","506,495","518,961","530,623","453,038","373,950","294,473","210,421","137,955","81,846","50,539"
1975,06,California,White female,"633,012","703,952","833,159","867,473","853,373","808,831","664,314","534,649","498,649","536,482","565,051","487,488","421,367","368,821","293,778","226,457","156,940","114,625"
1975,06,California,Black male,"72,501","79,561","92,563","89,144","80,184","70,462","54,581","44,602","42,226","37,353","34,660","27,488","22,128","17,459","11,200","6,110","2,691","1,966"
1975,06,California,Black female,"71,128","78,332","90,764","87,464","79,810","73,312","59,689","47,690","43,733","40,569","38,287","31,730","26,570","20,887","14,446","9,049","4,984","3,905"
1975,06,California,Other races male,"43,714","46,817","52,022","52,173","54,336","51,423","41,927","33,956","31,420","27,416","23,511","18,549","16,369","15,117","10,699","5,658","3,238","2,135"
1975,06,California,Other races female,"42,035","44,965","49,432","50,048","53,286","53,640","47,714","38,226","35,210","30,391","25,768","18,682","14,359","11,522","8,268","5,509","3,391","2,180"
1975,08,Colorado,White male,"97,014","101,111","119,423","126,314","130,026","119,000","92,611","71,467","64,749","62,845","60,256","50,452","41,065","32,509","22,563","15,084","9,473","6,186"
1975,08,Colorado,White female,"92,366","96,952","115,493","120,927","122,421","115,358","91,580","71,234","64,240","64,290","63,118","53,612","45,967","38,832","30,386","23,818","17,194","12,950"
1975,08,Colorado,Black male,"4,093","4,107","4,660","5,126","6,928","4,301","3,045","2,503","2,159","1,935","1,558","1,135",872,622,411,260,138,112
1975,08,Colorado,Black female,"3,945","4,086","4,644","4,473","4,337","3,709","2,943","2,336","2,132","1,964","1,553","1,273","1,008",752,641,408,259,234
1975,08,Colorado,Other races male,"1,868","1,789","1,890","2,095","2,440","2,032","1,587","1,120",967,767,641,531,341,263,207,133,82,78
1975,08,Colorado,Other races female,"1,854","1,821","1,936","1,934","2,384","2,169","1,812","1,400","1,225",958,711,507,351,226,199,177,113,87
1975,09,Connecticut,White male,"91,319","114,972","139,047","136,282","116,023","108,256","93,992","76,649","75,171","83,493","87,177","79,110","64,563","47,062","32,145","20,974","14,012","8,425"
1975,09,Connecticut,White female,"87,252","110,276","132,979","133,470","116,729","111,175","96,644","80,053","78,259","88,006","93,779","86,171","71,766","60,188","47,227","36,872","27,392","19,379"
1975,09,Connecticut,Black male,"10,203","11,320","12,881","11,009","7,885","7,452","6,594","5,294","4,795","4,375","4,024","2,928","2,298","1,504",972,587,260,188
1975,09,Connecticut,Black female,"10,016","11,525","12,739","11,217","9,525","9,136","8,268","6,513","5,800","4,921","4,555","3,478","2,764","2,070","1,456",917,492,390
1975,09,Connecticut,Other races male,961,910,820,733,821,917,934,714,598,419,295,208,181,134,105,69,75,67
1975,09,Connecticut,Other races female,912,990,838,669,786,"1,011","1,004",728,528,429,330,224,198,162,131,88,58,58
1975,10,Delaware,White male,"17,660","20,447","24,132","25,111","22,718","19,667","16,845","13,404","13,859","13,984","14,248","12,297","9,532","6,979","4,532","3,030","1,775","1,074"
1975,10,Delaware,White female,"16,785","19,404","23,016","25,390","23,289","20,305","16,914","13,951","13,762","14,738","15,167","13,189","10,738","8,880","6,787","5,322","3,717","2,678"
1975,10,Delaware,Black male,"4,277","4,786","5,607","5,196","3,970","2,893","2,581","2,162","2,021","1,874","1,810","1,541","1,344","1,038",666,402,191,142
1975,10,Delaware,Black female,"4,269","4,829","5,689","5,357","4,558","3,679","3,109","2,292","2,308","2,157","2,013","1,694","1,521","1,263",800,627,334,238
1975,10,Delaware,Other races male,196,215,192,171,157,166,202,167,167,93,79,48,40,35,26,16,18,15
1975,10,Delaware,Other races female,192,205,198,162,176,218,251,188,162,120,70,49,45,44,35,32,11,12
1975,11,District of Columbia,White male,"2,738","2,919","3,063","5,920","12,898","13,483","9,120","6,279","4,874","4,647","5,032","4,784","4,777","4,365","3,139","2,328","1,414",897
1975,11,District of Columbia,White female,"2,596","2,695","2,928","6,676","14,080","12,698","8,717","5,519","4,340","4,685","5,907","6,340","6,619","6,874","5,941","5,185","3,687","2,585"
1975,11,District of Columbia,Black male,"18,762","21,853","25,165","25,230","20,951","20,006","16,946","12,465","12,808","12,402","12,563","10,556","9,193","6,356","3,819","2,295","1,013",694
1975,11,District of Columbia,Black female,"18,563","21,550","24,949","26,917","26,305","25,333","18,839","14,547","14,827","14,480","15,341","13,147","11,502","8,712","5,866","3,749","2,123","1,617"
1975,11,District of Columbia,Other races male,221,237,217,280,419,491,451,286,239,219,167,161,150,121,95,56,33,23
1975,11,District of Columbia,Other races female,221,224,203,293,468,606,476,303,309,245,234,191,166,98,86,54,36,32
1975,12,Florida,White male,"224,618","239,822","293,917","311,904","296,441","263,101","209,675","178,526","178,644","190,853","197,036","182,880","188,426","200,680","162,968","105,717","57,993","28,719"
1975,12,Florida,White female,"213,728","228,137","281,469","296,893","286,611","260,167","217,365","185,854","184,847","206,461","223,937","222,771","241,767","249,073","200,712","135,956","78,836","47,411"
1975,12,Florida,Black male,"63,508","65,187","74,531","72,252","54,026","40,740","32,511","28,327","27,801","25,172","22,494","20,517","18,175","15,608","9,946","6,038","2,701","1,889"
1975,12,Florida,Black female,"62,491","65,065","73,713","74,181","60,662","46,657","38,214","33,413","31,960","29,176","26,534","23,681","21,925","18,805","12,886","8,387","4,624","3,532"
1975,12,Florida,Other races male,"2,217","2,245","2,284","2,292","2,575","2,236","2,038","1,752","1,547","1,142",805,660,542,485,423,314,177,152
1975,12,Florida,Other races female,"2,079","2,224","2,310","2,153","2,481","2,761","2,564","2,248","1,788","1,459","1,047",749,711,578,532,373,231,166
1975,13,Georgia,White male,"147,794","154,932","176,087","179,964","172,780","159,639","135,573","110,186","102,814","101,960","97,506","84,662","69,968","53,780","35,010","21,450","11,606","6,688"
1975,13,Georgia,White female,"139,897","147,201","167,059","171,352","169,777","161,259","136,158","111,697","103,923","105,503","104,947","92,581","82,065","70,899","54,572","39,023","25,592","17,519"
1975,13,Georgia,Black male,"67,212","69,456","79,559","78,342","59,341","45,649","36,030","27,231","25,419","23,794","21,976","21,143","19,727","17,487","10,367","6,752","3,444","2,354"
1975,13,Georgia,Black female,"66,289","69,135","78,700","78,809","68,158","54,375","41,986","33,773","31,819","30,532","28,560","27,169","25,946","24,038","16,330","11,581","6,652","5,532"
1975,13,Georgia,Other races male,895,879,829,986,"1,286","1,058",911,668,584,413,306,193,143,110,61,38,39,46
1975,13,Georgia,Other races female,929,907,825,793,"1,109","1,385","1,183",873,736,537,364,236,222,147,130,85,57,46
1975,15,Hawaii,White male,"14,773","13,981","15,269","17,093","30,268","19,448","15,139","11,848","8,760","7,762","7,521","6,001","4,891","3,363","2,166","1,118",602,332
1975,15,Hawaii,White female,"13,959","13,175","14,130","13,625","17,556","17,262","13,329","9,576","7,542","6,831","6,963","5,569","4,606","3,577","2,525","1,697","1,013",741
1975,15,Hawaii,Black male,731,558,421,884,"3,138","1,127",695,353,238,181,115,85,69,28,14,13,2,4
1975,15,Hawaii,Black female,753,520,386,333,741,591,371,168,108,90,64,39,30,18,13,9,5,4
1975,15,Hawaii,Other races male,"22,017","23,425","27,297","26,508","22,954","20,933","18,126","13,702","13,761","15,845","15,638","13,455","12,389","9,583","6,091","3,740","1,464","1,601"
1975,15,Hawaii,Other races female,"21,218","22,068","25,874","26,227","24,144","21,565","19,136","14,952","16,293","17,946","16,836","13,345","9,730","6,389","5,336","3,889","2,398","1,621"
1975,16,Idaho,White male,"38,564","36,890","41,485","42,276","37,139","33,491","26,610","21,463","20,016","19,512","19,719","18,522","16,722","13,637","9,426","6,093","3,811","2,536"
1975,16,Idaho,White female,"36,566","35,193","39,547","42,024","35,999","32,070","25,669","21,481","19,733","19,760","20,492","19,460","17,099","14,155","10,736","7,975","5,757","4,425"
1975,16,Idaho,Black male,127,105,99,205,364,154,116,78,77,29,43,29,23,19,16,13,2,8
1975,16,Idaho,Black female,119,111,106,97,104,90,58,33,50,36,28,27,31,22,14,9,4,2
1975,16,Idaho,Other races male,789,729,818,850,755,560,448,348,304,235,239,203,168,125,109,73,30,37
1975,16,Idaho,Other races female,776,741,814,785,660,580,453,341,310,291,248,190,142,112,102,77,74,44
1975,17,Illinois,White male,"346,238","385,730","456,790","466,846","407,093","385,113","316,361","256,488","249,055","266,827","276,071","246,401","210,620","160,775","114,108","74,614","46,352","27,935"
1975,17,Illinois,White female,"329,724","367,404","436,262","449,058","414,918","381,414","318,390","261,548","250,439","276,830","292,561","270,045","240,746","203,312","164,368","126,612","90,717","62,595"
1975,17,Illinois,Black male,"81,849","80,962","94,276","88,693","62,332","51,208","44,456","36,470","36,837","34,061","31,440","25,189","20,606","16,548","11,340","7,016","3,206","2,049"
1975,17,Illinois,Black female,"80,357","82,022","93,363","92,038","76,266","64,318","56,766","46,685","44,236","40,126","36,489","29,811","24,615","20,924","15,061","9,971","5,437","3,865"
1975,17,Illinois,Other races male,"6,756","5,764","5,544","5,159","5,157","6,169","6,557","5,110","4,311","3,063","2,106","1,648","1,363","1,077",777,467,241,148
1975,17,Illinois,Other races female,"6,450","5,635","5,274","4,876","5,831","7,817","7,090","5,354","4,096","2,917","2,192","1,767","1,359","1,163",856,541,338,222
1975,18,Indiana,White male,"197,985","211,953","245,922","248,003","217,844","194,948","159,173","130,193","125,097","132,425","133,041","115,000","97,412","76,669","54,875","36,195","21,651","13,504"
1975,18,Indiana,White female,"187,976","202,186","235,596","242,719","221,172","195,171","161,360","134,882","128,367","138,600","142,535","126,085","110,485","94,517","77,842","60,082","41,396","31,112"
1975,18,Indiana,Black male,"20,382","19,655","22,755","23,164","16,361","13,217","10,532","8,422","8,502","8,942","8,236","6,662","5,863","4,464","3,097","2,089","1,073",670
1975,18,Indiana,Black female,"19,931","19,873","23,234","23,444","19,103","15,014","12,231","10,145","10,316","9,978","9,312","7,505","6,621","5,478","3,935","2,730","1,569","1,169"
1975,18,Indiana,Other races male,"1,083",984,975,"1,049","1,159","1,058",916,695,602,451,329,242,202,152,128,93,48,55
1975,18,Indiana,Other races female,"1,038",996,"1,007",953,"1,231","1,299","1,157",822,730,515,392,273,224,198,162,140,79,71
1975,19,Iowa,White male,"105,928","117,127","140,292","143,166","121,354","106,860","84,621","69,214","67,580","72,425","73,981","67,948","60,147","50,141","38,457","27,923","18,097","11,654"
1975,19,Iowa,White female,"101,060","111,879","133,919","140,619","124,279","104,656","84,517","71,855","69,730","75,330","78,409","73,556","67,521","60,700","53,032","43,866","32,680","26,009"
1975,19,Iowa,Black male,"2,131","2,094","2,337","2,223","2,070","1,533","1,072",852,833,700,723,535,483,376,308,210,123,86
1975,19,Iowa,Black female,"2,013","1,937","2,202","2,282","2,034","1,510","1,058",940,844,748,763,621,589,446,349,271,181,123
1975,19,Iowa,Other races male,810,701,704,647,783,755,511,360,295,212,170,103,90,73,73,34,31,21
1975,19,Iowa,Other races female,869,789,713,640,773,768,586,440,327,242,185,134,134,110,88,77,60,42
1975,20,Kansas,White male,"78,145","82,671","99,012","106,999","102,905","83,357","65,304","53,520","52,475","56,460","58,341","51,463","45,801","39,492","29,190","20,525","13,407","8,559"
1975,20,Kansas,White female,"74,056","78,618","94,935","103,205","95,804","79,981","65,178","54,496","54,398","58,444","60,583","56,113","51,862","47,897","40,824","32,788","24,269","19,107"
1975,20,Kansas,Black male,"5,721","5,683","6,736","7,327","7,671","4,393","3,074","2,485","2,281","2,253","2,118","1,844","1,701","1,467","1,097",780,494,347
1975,20,Kansas,Black female,"5,590","5,849","6,704","6,673","5,752","4,297","3,341","2,705","2,707","2,486","2,395","2,087","1,942","1,676","1,482","1,039",694,583
1975,20,Kansas,Other races male,"1,180","1,094","1,180","1,300","1,676","1,164",869,636,523,405,362,270,209,160,133,85,56,51
1975,20,Kansas,Other races female,"1,090","1,116","1,141","1,223","1,496","1,299","1,006",759,670,529,392,307,252,200,172,122,91,71
1975,21,Kentucky,White male,"129,873","136,559","158,395","166,284","145,915","124,553","102,778","83,831","79,481","82,689","82,385","71,872","63,737","54,710","39,252","26,274","15,365","9,432"
1975,21,Kentucky,White female,"123,533","129,854","150,891","156,226","145,091","127,753","103,932","87,356","83,014","86,972","88,302","79,101","74,080","65,735","52,976","39,587","25,963","18,660"
1975,21,Kentucky,Black male,"11,524","11,432","13,456","16,146","14,387","7,988","6,016","4,456","4,883","4,808","4,956","4,562","4,270","4,007","2,784","1,888","1,123",797
1975,21,Kentucky,Black female,"11,368","11,346","13,129","14,355","12,396","9,103","6,813","5,728","5,846","5,919","6,035","5,508","5,285","4,845","3,764","2,756","1,733","1,360"
1975,21,Kentucky,Other races male,455,388,400,517,663,450,375,285,269,153,133,91,64,75,57,44,25,32
1975,21,Kentucky,Other races female,476,433,373,382,587,638,529,421,342,283,204,136,131,127,83,73,43,37
1975,22,Louisiana,White male,"107,003","115,957","134,776","140,754","134,402","114,065","90,395","73,313","70,599","73,226","71,673","61,389","52,200","42,120","29,063","17,356","9,273","5,303"
1975,22,Louisiana,White female,"101,801","111,191","129,481","133,774","123,981","110,029","89,410","74,487","71,850","76,497","75,907","66,585","59,779","53,600","42,063","29,211","18,275","12,229"
1975,22,Louisiana,Black male,"57,720","62,301","70,977","70,067","51,891","34,423","27,174","21,729","21,299","21,329","20,123","18,493","17,764","16,207","11,549","7,848","4,134","2,892"
1975,22,Louisiana,Black female,"57,322","62,177","69,804","70,227","58,936","41,660","32,978","28,135","27,270","26,859","25,517","22,983","21,579","20,727","14,788","10,920","6,260","5,110"
1975,22,Louisiana,Other races male,"1,209","1,250","1,306","1,277","1,267","1,020",828,638,575,470,375,268,260,248,147,110,76,60
