territory,value,period,statisticalVariable
IN-AR,0.8,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,3.2,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,2.2,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DL,3.9,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,6.9,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,0.6,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,1.1,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,1.8,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,1.2,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,1.0,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,5.7,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,0.6,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,1.9,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,2.1,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,0.5,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,1.4,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,2.6,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,2.4,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,2.3,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,0.6,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,3.2,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,2.7,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,0.7,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,1.0,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,2.8,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,2.3,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CH,0.7,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DN,1.6,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DD,1.3,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,10.9,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,4.7,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN,1.7,2000-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,1.0,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AR,1.1,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,2.4,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,1.8,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CT,0.8,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DL,2.0,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,9.1,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,0.8,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,2.8,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,1.6,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,1.7,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JH,2.0,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,0.7,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,5.1,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,0.7,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,1.5,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,1.4,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,0.1,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,0.5,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,2.2,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,3.1,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,3.3,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,1.2,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,2.8,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,1.2,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,9.6,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UT,2.0,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,0.7,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,2.2,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,3.7,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CH,2.5,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DN,3.1,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DD,0.4,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,0.9,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,9.4,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN,1.6,2005-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,1.3,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AR,1.5,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,3.4,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,2.1,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CT,0.9,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DL,1.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,3.5,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,0.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,2.1,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,1.9,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,1.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JH,4.6,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,0.5,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,3.2,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,0.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,0.7,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,3.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,0.3,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,1.3,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,9.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,3.1,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,2.8,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,0.6,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,4.7,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,1.5,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,5.3,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UT,2.6,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,1.2,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,1.7,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,4.2,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CH,16.4,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DN,5.1,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DD,4.5,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,2.4,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,4.1,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN,1.6,2010-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,1.7,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AR,1.7,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,4.3,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,2.7,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CT,1.1,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DL,9.4,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,6.6,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,0.4,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,2.6,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,1.1,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,2.2,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JH,1.8,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,1.2,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,3.1,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,0.6,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,0.9,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,2.4,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,0.4,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,1.3,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,14.6,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,2.3,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,2.2,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,0.9,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,0.9,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,2.1,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,6.2,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UT,2.7,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,1.0,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,2.8,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,1.8,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,7.9,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,0.6,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN,1.7,2012-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,4.5,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AR,4.3,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,7.4,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,7.2,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CT,2.7,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DL,3.6,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,10.7,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,5.5,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,9.0,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,6.2,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,3.7,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JH,7.8,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,4.0,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,5.9,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,4.5,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,3.5,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,9.9,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,0.3,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,5.9,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,19.0,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,7.4,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,7.4,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,5.8,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,2.0,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,8.8,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,6.1,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UT,6.7,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,6.2,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,4.3,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,6.5,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CH,3.9,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DN,1.2,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DD,8.3,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,11.2,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,5.8,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN,5.8,2018-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,4.9,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AR,6.1,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AS,6.2,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-BR,10.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-CT,2.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DL,0.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GA,2.4,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-GJ,3.8,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HR,10.0,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-HP,5.3,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JK,2.9,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-JH,5.8,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KA,3.2,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-KL,4.7,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MP,3.0,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MH,4.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MN,7.7,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-ML,1.9,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-MZ,4.2,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-NL,14.4,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-OR,6.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PB,7.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-RJ,5.9,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-SK,3.0,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TN,7.0,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-TR,5.5,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UT,5.3,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-UP,4.8,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-WB,4.0,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AN,6.7,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-DN,1.8,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-LD,39.2,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-PY,12.5,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN,5.6,2019-03,dcs:UnemploymentRate_Person_Rural_Male
IN-AP,0.1,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,0.2,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,7.7,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,0.6,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,12.9,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,0.3,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,0.4,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,0.1,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,0.4,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,0.4,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,9.7,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MP,0.1,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,0.3,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,0.7,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,0.4,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,0.8,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,1.2,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,0.1,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,1.6,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,0.6,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,5.8,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,0.3,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,1.7,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,1.7,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CH,2.8,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-DN,0.7,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,42.8,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN,0.8,1994-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,0.5,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,0.1,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,6.6,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,0.5,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-DL,21.0,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,15.9,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,0.1,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,0.1,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,0.5,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,1.1,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,0.3,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,13.0,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MP,0.2,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,0.7,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,1.5,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-ML,0.3,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,0.3,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-NL,2.0,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,1.1,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,0.9,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,0.1,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,1.9,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,1.0,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,4.4,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,0.3,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,2.8,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,6.8,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,42.9,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PY,2.6,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN,1.0,2000-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,0.4,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,0.6,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,3.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,0.2,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CT,0.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,15.7,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,0.2,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,1.0,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,2.0,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,1.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JH,0.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,0.8,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,20.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MP,0.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,0.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,0.7,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-ML,0.5,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,0.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-NL,1.4,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,8.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,4.9,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,0.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,1.5,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,1.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,32.0,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UT,0.4,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,0.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,3.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,12.3,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CH,4.8,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-DN,3.6,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,57.1,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PY,3.2,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN,1.8,2005-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,0.9,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,0.8,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,5.6,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,1.3,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CT,0.1,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,9.9,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,0.7,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,1.1,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,1.2,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,3.8,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JH,1.2,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,0.4,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,16.1,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MP,0.4,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,0.4,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,3.7,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-ML,0.5,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,1.5,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-NL,11.9,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,2.7,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,2.2,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,0.1,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,3.4,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,1.5,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,19.8,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UT,0.2,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,0.5,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,2.8,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,19.0,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CH,51.1,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-DD,2.3,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,25.6,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PY,1.3,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN,1.6,2010-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,0.5,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,1.6,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,5.7,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,8.2,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-CT,0.3,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GA,0.8,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-GJ,0.2,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HR,1.7,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-HP,0.8,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JK,3.0,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-JH,2.8,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KA,0.4,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-KL,14.2,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MH,0.3,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MN,3.0,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-ML,0.4,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-MZ,2.7,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-NL,15.9,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-OR,2.0,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PB,1.3,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-RJ,0.4,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-SK,1.0,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TN,1.9,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-TR,20.3,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UT,2.1,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-UP,0.7,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-WB,2.4,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AN,12.8,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-LD,43.5,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-PY,1.0,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN,1.7,2012-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AP,2.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AR,10.7,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-AS,14.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
IN-BR,2.3,2018-03,dcs:UnemploymentRate_Person_Rural_Female
