2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no wife present, family households","Margin of Error!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In male householder, no spouse present, family households"
"White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
"White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no husband present, family households","Margin of Error!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In female householder, no spouse present, family households"
"White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!In nonfamily households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","White alone, not Hispanic or Latino!!Estimate!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","Estimate!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households"
"White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!In nonfamily households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","White alone, not Hispanic or Latino!!Margin of Error!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","Margin of Error!!White alone, not Hispanic or Latino MOE!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households","Margin of Error!!White alone, not Hispanic or Latino!!HOUSEHOLD TYPE!!Population 15 to 19 years in households!!In nonfamily households"
"White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years"
"White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 16 to 19 years","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 16 to 19 years","Margin of Error!!White alone, not Hispanic or Latino!!Population 16 to 19 years"
"White alone, not Hispanic or Latino!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Estimate!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Estimate!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force"
"White alone, not Hispanic or Latino!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Margin of Error!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","White alone, not Hispanic or Latino!!Margin of Error!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force","Margin of Error!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!IDLENESS!!Not enrolled in school and not in the labor force"
"White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Estimate!!LABOR FORCE STATUS!!In the labor force","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force","Estimate!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force"
"White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","White alone, not Hispanic or Latino!!Margin of Error!!LABOR FORCE STATUS!!In the labor force","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force","Margin of Error!!White alone, not Hispanic or Latino MOE!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force","Margin of Error!!White alone, not Hispanic or Latino!!Population 16 to 19 years!!LABOR FORCE STATUS!!In the labor force"
Black or African American!!Estimate!!Population 15 to 19 years,Black or African American!!Estimate!!Population 15 to 19 years,Black or African American!!Estimate!!Population 15 to 19 years,Black or African American!!Estimate!!Population 15 to 19 years,Black or African American!!Estimate!!Population 15 to 19 years,Black or African American!!Estimate!!Population 15 to 19 years,Black or African American!!Estimate!!Population 15 to 19 years,Estimate!!Black or African American!!Population 15 to 19 years,Estimate!!Black or African American!!Population 15 to 19 years,Estimate!!Black or African American!!Population 15 to 19 years
Black or African American!!Margin of Error!!Population 15 to 19 years,Black or African American!!Margin of Error!!Population 15 to 19 years,Black or African American!!Margin of Error!!Population 15 to 19 years,Black or African American!!Margin of Error!!Population 15 to 19 years,Black or African American!!Margin of Error!!Population 15 to 19 years,Black or African American!!Margin of Error!!Population 15 to 19 years,Black or African American!!Margin of Error!!Population 15 to 19 years,Margin of Error!!Black or African American MOE!!Population 15 to 19 years,Margin of Error!!Black or African American MOE!!Population 15 to 19 years,Margin of Error!!Black or African American!!Population 15 to 19 years
Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school
Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school
Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public
Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public
Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private
Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private
Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Estimate!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Estimate!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school
Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Black or African American!!Margin of Error!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school,Margin of Error!!Black or African American!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Not enrolled in school
Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male
Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male,Margin of Error!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male
Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married
Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married,Margin of Error!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Male!!Ever married
Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female
Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female,Margin of Error!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female
Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married
Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Black or African American!!Margin of Error!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Black or African American MOE!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married,Margin of Error!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Ever married
Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Black or African American!!Estimate!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months,Estimate!!Black or African American!!Population 15 to 19 years!!MARITAL STATUS AND FERTILITY!!Female!!Female with a birth in the past 12 months
