observationDate,variableMeasured
2020,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2020,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentBachelorsDegreeOrHigher_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2020,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentDoctorateDegree_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2020,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2007,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2008,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2009,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2010,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2011,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2012,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2013,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2014,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2015,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2016,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2017,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2018,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2019,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2021,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2022,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2005,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2020,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2023,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2024,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2000,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2001,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2002,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2003,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2004,dcid:Count_Person_25To64Years_EducationalAttainmentTertiaryEducation_Male_AsAFractionOf_Count_Person_25To64Years_Male
2006,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2007,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2008,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2009,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2010,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2011,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2012,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2013,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2014,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2015,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2016,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2017,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2018,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2019,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2021,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2022,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2005,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2020,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2023,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2024,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2000,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2001,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2002,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2003,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2004,dcid:Count_Person_25To34Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2006,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2007,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2008,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2009,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2010,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2011,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2012,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2013,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2014,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2015,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2016,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2017,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2018,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2019,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2021,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2022,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2005,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2020,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2023,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2024,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2000,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2001,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2002,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2003,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2004,dcid:Count_Person_25To34Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To34Years
2006,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2007,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2008,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2009,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2010,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2011,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2012,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2013,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2014,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2015,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2016,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2017,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2018,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2019,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2021,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2022,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2005,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2020,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2023,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2024,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2000,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2001,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2002,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2003,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2004,dcid:Count_Person_25To34Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To34Years
2006,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2007,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2008,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2009,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2010,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2011,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2012,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2013,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2014,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2015,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2016,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2017,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2018,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2019,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2021,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2022,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2005,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2020,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2023,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2024,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2000,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2001,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2002,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2003,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2004,dcid:Count_Person_25To34Years_EducationalAttainmentBachelorsDegreeOrHigher_AsAFractionOf_Count_Person_25To34Years
2006,dcid:Count_Person_25To34Years_EducationalAttainmentDoctorateDegree_AsAFractionOf_Count_Person_25To34Years
